2024-02-13 21:59:16: Inserted: fVbUVAiLiGgLA_nxBFxyww, Thursday Kitchen
2024-02-13 21:59:16: Inserted: ehUuSk5gPTCQmwS_ubgKRA, Upstate Craft Beer & Oyster Bar
2024-02-13 21:59:16: Inserted: -XYp6w50XbZfS90YddS5ew, Soothr
2024-02-13 21:59:17: Inserted: e5wK3I_THzF4Ce_OgoSCQw, Mokyo
2024-02-13 21:59:17: Inserted: jjJc_CrkB2HodEinB6cWww, LoveMama
2024-02-13 21:59:17: Inserted: bZQryeTD6hIsT6lSUxzSSw, Hanoi House
2024-02-13 21:59:17: Inserted: FlZ1zdVEKWv7dwqm8Uw8-w, Raku
2024-02-13 21:59:17: Inserted: LMyvruexOQzzHQrAgbdqiA, Nowon East Village 
2024-02-13 21:59:17: Inserted: R7EGjHWw0tNheY6-ahH8fQ, Tuome
2024-02-13 21:59:17: Inserted: 44SY464xDHbvOcjDzRbKkQ, Ippudo NY
2024-02-13 21:59:17: Inserted: iTj5T_jPYvznd1QTgs7NZw, Nai 
2024-02-13 21:59:17: Inserted: eQ4QUGvuHGBzsOrphsVc6A, Kimura
2024-02-13 21:59:17: Inserted: 0FaLilJs2VN83hOEBcBnPg, Au Za'atar
2024-02-13 21:59:17: Inserted: 15pcxijuNY8BMNzBhABt7w, Miss Lily's 7A Cafe
2024-02-13 21:59:17: Inserted: AgAkUVLN_axMY-bzbNCfCw, Yuca Bar
2024-02-13 21:59:17: Inserted: W4hobe10Fy54MKqmLaObEg, Cafe Mogador
2024-02-13 21:59:17: Inserted: k5NAz3-goMXKoUqPfOZ1Hw, The Smith
2024-02-13 21:59:17: Inserted: lEH8EUPX3Zn_trHauIycYw, Aoi Kitchen
2024-02-13 21:59:17: Inserted: m2Zsy2UAkcDf0cRzk2Yoqw, Madame Vo
2024-02-13 21:59:17: Inserted: rCpO-kMHljieU0geK0RJQw, Noreetuh
2024-02-13 21:59:17: Inserted: jc7lVTvmYMIK5RNpENtS6w, Szechuan Mountain House
2024-02-13 21:59:17: Inserted: dh5r9-SbN8xJ76XvnayWLQ, Giano Restaurant
2024-02-13 21:59:18: Inserted: nMyot99PkX5iYCdxHoRJqQ, ARIARI
2024-02-13 21:59:18: Inserted: TfJb2hS3Fem2nkIyz13KUA, Ama Raw Bar - East Village
2024-02-13 21:59:18: Inserted: zX8IF7oCbw1HrNaPmOBy-g, FERNS
2024-02-13 21:59:18: Inserted: ynR4-QgEOsE7VhNfIWo73w, Secchu Yokota
2024-02-13 21:59:18: Inserted: TGP5gbAgml0IDRLGCpFnCw, PMF Pardon My French
2024-02-13 21:59:18: Inserted: pNe8ZCkGTe4cXfKdOF7kYQ, Ise Restaurant
2024-02-13 21:59:18: Inserted: PqqnNrUtU7XTKQvUM4cyqQ, Bar Verde
2024-02-13 21:59:18: Inserted: yecdlU3oJb1c7rwbjtxchQ, Marufuku Ramen - New York
2024-02-13 21:59:18: Inserted: c_Kellz-oODKoNpcRbV24w, MONO+MONO
2024-02-13 21:59:18: Inserted: MGRo61aHFUeRlWhSbTv2NA, Sushi By M
2024-02-13 21:59:18: Inserted: ZjU9qd-RR55cEEKufmdN5Q, Cathédrale Restaurant
2024-02-13 21:59:18: Inserted: qpkFmGyvbZv-g2fbwyNQUg, Bowery Meat Company
2024-02-13 21:59:18: Inserted: apykLG7DTZ-7xnOcZGDZZA, Taverna Kyclades - East Village
2024-02-13 21:59:18: Inserted: axqp3pGJXnTLgq2QrPyDyQ, Benemon
2024-02-13 21:59:18: Inserted: 7xV4gzrgaOgQYtPC3FBZig, Pylos
2024-02-13 21:59:18: Inserted: TWH4MjLtN1fKlF-7n6YXHg, Lil Frankie's
2024-02-13 21:59:18: Inserted: Cg5kGSXIelsKX9eqlHr31A, Kyuramen - Union Square
2024-02-13 21:59:18: Inserted: j8cKSxr6aQ8qTx23FLyyiA, The Wayland
2024-02-13 21:59:19: Inserted: FJepPR5CYRggxRwAjlqg6A, Bowery Road
2024-02-13 21:59:19: Inserted: SMrj71bWo1lomSbU8wXgyw, The Dolar Shop
2024-02-13 21:59:20: Inserted: wTQYOTh9_JPI2I8s6Xc-Cw, Pineapple Club
2024-02-13 21:59:20: Inserted: jYhbUh1TV7SCfPxjIhVpcg, Baar Baar
2024-02-13 21:59:20: Inserted: kr5fRwdHtVwPPwSJxm9Fkg, Il Posto Accanto
2024-02-13 21:59:20: Inserted: 4FD0TAxe70nb3ngk3sXF9Q, Uluh
2024-02-13 21:59:20: Inserted: DW6QH9hNP5kgkg-5UDS9wQ, Shinn East
2024-02-13 21:59:20: Inserted: 64olT1goXFQEATQO_oiSLg, The Gray Mare
2024-02-13 21:59:20: Inserted: qrydcGQpeDP_1oFvx3qOeg, Somtum Der
2024-02-13 21:59:20: Inserted: EBK0OkVMBg_n_KxAU_4DZg, Double Zero
2024-02-13 21:59:21: Abandoned: fVbUVAiLiGgLA_nxBFxyww, Thursday Kitchen, already inserted
2024-02-13 21:59:21: Abandoned: ehUuSk5gPTCQmwS_ubgKRA, Upstate Craft Beer & Oyster Bar, already inserted
2024-02-13 21:59:21: Abandoned: -XYp6w50XbZfS90YddS5ew, Soothr, already inserted
2024-02-13 21:59:21: Abandoned: e5wK3I_THzF4Ce_OgoSCQw, Mokyo, already inserted
2024-02-13 21:59:21: Abandoned: jjJc_CrkB2HodEinB6cWww, LoveMama, already inserted
2024-02-13 21:59:21: Abandoned: bZQryeTD6hIsT6lSUxzSSw, Hanoi House, already inserted
2024-02-13 21:59:21: Abandoned: FlZ1zdVEKWv7dwqm8Uw8-w, Raku, already inserted
2024-02-13 21:59:21: Abandoned: LMyvruexOQzzHQrAgbdqiA, Nowon East Village , already inserted
2024-02-13 21:59:21: Abandoned: R7EGjHWw0tNheY6-ahH8fQ, Tuome, already inserted
2024-02-13 21:59:21: Abandoned: 44SY464xDHbvOcjDzRbKkQ, Ippudo NY, already inserted
2024-02-13 21:59:21: Abandoned: iTj5T_jPYvznd1QTgs7NZw, Nai , already inserted
2024-02-13 21:59:21: Abandoned: eQ4QUGvuHGBzsOrphsVc6A, Kimura, already inserted
2024-02-13 21:59:21: Abandoned: 0FaLilJs2VN83hOEBcBnPg, Au Za'atar, already inserted
2024-02-13 21:59:21: Abandoned: 15pcxijuNY8BMNzBhABt7w, Miss Lily's 7A Cafe, already inserted
2024-02-13 21:59:21: Abandoned: AgAkUVLN_axMY-bzbNCfCw, Yuca Bar, already inserted
2024-02-13 21:59:21: Abandoned: W4hobe10Fy54MKqmLaObEg, Cafe Mogador, already inserted
2024-02-13 21:59:21: Abandoned: k5NAz3-goMXKoUqPfOZ1Hw, The Smith, already inserted
2024-02-13 21:59:21: Abandoned: lEH8EUPX3Zn_trHauIycYw, Aoi Kitchen, already inserted
2024-02-13 21:59:21: Abandoned: m2Zsy2UAkcDf0cRzk2Yoqw, Madame Vo, already inserted
2024-02-13 21:59:21: Abandoned: rCpO-kMHljieU0geK0RJQw, Noreetuh, already inserted
2024-02-13 21:59:21: Abandoned: jc7lVTvmYMIK5RNpENtS6w, Szechuan Mountain House, already inserted
2024-02-13 21:59:22: Abandoned: dh5r9-SbN8xJ76XvnayWLQ, Giano Restaurant, already inserted
2024-02-13 21:59:22: Abandoned: nMyot99PkX5iYCdxHoRJqQ, ARIARI, already inserted
2024-02-13 21:59:22: Abandoned: TfJb2hS3Fem2nkIyz13KUA, Ama Raw Bar - East Village, already inserted
2024-02-13 21:59:22: Abandoned: zX8IF7oCbw1HrNaPmOBy-g, FERNS, already inserted
2024-02-13 21:59:22: Abandoned: ynR4-QgEOsE7VhNfIWo73w, Secchu Yokota, already inserted
2024-02-13 21:59:22: Abandoned: TGP5gbAgml0IDRLGCpFnCw, PMF Pardon My French, already inserted
2024-02-13 21:59:22: Abandoned: pNe8ZCkGTe4cXfKdOF7kYQ, Ise Restaurant, already inserted
2024-02-13 21:59:22: Abandoned: PqqnNrUtU7XTKQvUM4cyqQ, Bar Verde, already inserted
2024-02-13 21:59:22: Abandoned: yecdlU3oJb1c7rwbjtxchQ, Marufuku Ramen - New York, already inserted
2024-02-13 21:59:22: Abandoned: c_Kellz-oODKoNpcRbV24w, MONO+MONO, already inserted
2024-02-13 21:59:22: Abandoned: MGRo61aHFUeRlWhSbTv2NA, Sushi By M, already inserted
2024-02-13 21:59:22: Abandoned: ZjU9qd-RR55cEEKufmdN5Q, Cathédrale Restaurant, already inserted
2024-02-13 21:59:22: Abandoned: qpkFmGyvbZv-g2fbwyNQUg, Bowery Meat Company, already inserted
2024-02-13 21:59:22: Abandoned: apykLG7DTZ-7xnOcZGDZZA, Taverna Kyclades - East Village, already inserted
2024-02-13 21:59:22: Abandoned: axqp3pGJXnTLgq2QrPyDyQ, Benemon, already inserted
2024-02-13 21:59:22: Abandoned: 7xV4gzrgaOgQYtPC3FBZig, Pylos, already inserted
2024-02-13 21:59:24: Abandoned: TWH4MjLtN1fKlF-7n6YXHg, Lil Frankie's, already inserted
2024-02-13 21:59:24: Abandoned: Cg5kGSXIelsKX9eqlHr31A, Kyuramen - Union Square, already inserted
2024-02-13 21:59:24: Abandoned: j8cKSxr6aQ8qTx23FLyyiA, The Wayland, already inserted
2024-02-13 21:59:24: Abandoned: FJepPR5CYRggxRwAjlqg6A, Bowery Road, already inserted
2024-02-13 21:59:25: Abandoned: SMrj71bWo1lomSbU8wXgyw, The Dolar Shop, already inserted
2024-02-13 21:59:25: Abandoned: wTQYOTh9_JPI2I8s6Xc-Cw, Pineapple Club, already inserted
2024-02-13 21:59:25: Abandoned: jYhbUh1TV7SCfPxjIhVpcg, Baar Baar, already inserted
2024-02-13 21:59:25: Abandoned: kr5fRwdHtVwPPwSJxm9Fkg, Il Posto Accanto, already inserted
2024-02-13 21:59:25: Abandoned: 4FD0TAxe70nb3ngk3sXF9Q, Uluh, already inserted
2024-02-13 21:59:25: Abandoned: DW6QH9hNP5kgkg-5UDS9wQ, Shinn East, already inserted
2024-02-13 21:59:25: Abandoned: 64olT1goXFQEATQO_oiSLg, The Gray Mare, already inserted
2024-02-13 21:59:25: Abandoned: qrydcGQpeDP_1oFvx3qOeg, Somtum Der, already inserted
2024-02-13 21:59:25: Abandoned: EBK0OkVMBg_n_KxAU_4DZg, Double Zero, already inserted
2024-02-13 21:59:26: Abandoned: fVbUVAiLiGgLA_nxBFxyww, Thursday Kitchen, already inserted
2024-02-13 21:59:26: Abandoned: ehUuSk5gPTCQmwS_ubgKRA, Upstate Craft Beer & Oyster Bar, already inserted
2024-02-13 21:59:26: Abandoned: -XYp6w50XbZfS90YddS5ew, Soothr, already inserted
2024-02-13 21:59:26: Abandoned: e5wK3I_THzF4Ce_OgoSCQw, Mokyo, already inserted
2024-02-13 21:59:26: Abandoned: jjJc_CrkB2HodEinB6cWww, LoveMama, already inserted
2024-02-13 21:59:26: Abandoned: bZQryeTD6hIsT6lSUxzSSw, Hanoi House, already inserted
2024-02-13 21:59:26: Abandoned: FlZ1zdVEKWv7dwqm8Uw8-w, Raku, already inserted
2024-02-13 21:59:26: Abandoned: LMyvruexOQzzHQrAgbdqiA, Nowon East Village , already inserted
2024-02-13 21:59:26: Abandoned: R7EGjHWw0tNheY6-ahH8fQ, Tuome, already inserted
2024-02-13 21:59:26: Abandoned: 44SY464xDHbvOcjDzRbKkQ, Ippudo NY, already inserted
2024-02-13 21:59:26: Abandoned: iTj5T_jPYvznd1QTgs7NZw, Nai , already inserted
2024-02-13 21:59:26: Abandoned: eQ4QUGvuHGBzsOrphsVc6A, Kimura, already inserted
2024-02-13 21:59:26: Abandoned: 0FaLilJs2VN83hOEBcBnPg, Au Za'atar, already inserted
2024-02-13 21:59:26: Abandoned: 15pcxijuNY8BMNzBhABt7w, Miss Lily's 7A Cafe, already inserted
2024-02-13 21:59:26: Abandoned: AgAkUVLN_axMY-bzbNCfCw, Yuca Bar, already inserted
2024-02-13 21:59:26: Abandoned: W4hobe10Fy54MKqmLaObEg, Cafe Mogador, already inserted
2024-02-13 21:59:27: Abandoned: k5NAz3-goMXKoUqPfOZ1Hw, The Smith, already inserted
2024-02-13 21:59:27: Abandoned: lEH8EUPX3Zn_trHauIycYw, Aoi Kitchen, already inserted
2024-02-13 21:59:27: Abandoned: m2Zsy2UAkcDf0cRzk2Yoqw, Madame Vo, already inserted
2024-02-13 21:59:27: Abandoned: rCpO-kMHljieU0geK0RJQw, Noreetuh, already inserted
2024-02-13 21:59:27: Abandoned: jc7lVTvmYMIK5RNpENtS6w, Szechuan Mountain House, already inserted
2024-02-13 21:59:27: Abandoned: dh5r9-SbN8xJ76XvnayWLQ, Giano Restaurant, already inserted
2024-02-13 21:59:27: Abandoned: nMyot99PkX5iYCdxHoRJqQ, ARIARI, already inserted
2024-02-13 21:59:27: Abandoned: TfJb2hS3Fem2nkIyz13KUA, Ama Raw Bar - East Village, already inserted
2024-02-13 21:59:27: Abandoned: zX8IF7oCbw1HrNaPmOBy-g, FERNS, already inserted
2024-02-13 21:59:27: Abandoned: ynR4-QgEOsE7VhNfIWo73w, Secchu Yokota, already inserted
2024-02-13 21:59:27: Abandoned: TGP5gbAgml0IDRLGCpFnCw, PMF Pardon My French, already inserted
2024-02-13 21:59:27: Abandoned: pNe8ZCkGTe4cXfKdOF7kYQ, Ise Restaurant, already inserted
2024-02-13 21:59:27: Abandoned: PqqnNrUtU7XTKQvUM4cyqQ, Bar Verde, already inserted
2024-02-13 21:59:27: Abandoned: yecdlU3oJb1c7rwbjtxchQ, Marufuku Ramen - New York, already inserted
2024-02-13 21:59:27: Abandoned: c_Kellz-oODKoNpcRbV24w, MONO+MONO, already inserted
2024-02-13 21:59:27: Abandoned: MGRo61aHFUeRlWhSbTv2NA, Sushi By M, already inserted
2024-02-13 21:59:27: Abandoned: ZjU9qd-RR55cEEKufmdN5Q, Cathédrale Restaurant, already inserted
2024-02-13 21:59:27: Abandoned: qpkFmGyvbZv-g2fbwyNQUg, Bowery Meat Company, already inserted
2024-02-13 21:59:27: Abandoned: apykLG7DTZ-7xnOcZGDZZA, Taverna Kyclades - East Village, already inserted
2024-02-13 21:59:27: Abandoned: axqp3pGJXnTLgq2QrPyDyQ, Benemon, already inserted
2024-02-13 21:59:27: Abandoned: 7xV4gzrgaOgQYtPC3FBZig, Pylos, already inserted
2024-02-13 21:59:27: Abandoned: TWH4MjLtN1fKlF-7n6YXHg, Lil Frankie's, already inserted
2024-02-13 21:59:27: Abandoned: Cg5kGSXIelsKX9eqlHr31A, Kyuramen - Union Square, already inserted
2024-02-13 21:59:27: Abandoned: j8cKSxr6aQ8qTx23FLyyiA, The Wayland, already inserted
2024-02-13 21:59:27: Abandoned: FJepPR5CYRggxRwAjlqg6A, Bowery Road, already inserted
2024-02-13 21:59:27: Abandoned: SMrj71bWo1lomSbU8wXgyw, The Dolar Shop, already inserted
2024-02-13 21:59:27: Abandoned: wTQYOTh9_JPI2I8s6Xc-Cw, Pineapple Club, already inserted
2024-02-13 21:59:27: Abandoned: jYhbUh1TV7SCfPxjIhVpcg, Baar Baar, already inserted
2024-02-13 21:59:28: Abandoned: kr5fRwdHtVwPPwSJxm9Fkg, Il Posto Accanto, already inserted
2024-02-13 21:59:28: Abandoned: 4FD0TAxe70nb3ngk3sXF9Q, Uluh, already inserted
2024-02-13 21:59:28: Abandoned: DW6QH9hNP5kgkg-5UDS9wQ, Shinn East, already inserted
2024-02-13 21:59:28: Abandoned: 64olT1goXFQEATQO_oiSLg, The Gray Mare, already inserted
2024-02-13 21:59:28: Abandoned: qrydcGQpeDP_1oFvx3qOeg, Somtum Der, already inserted
2024-02-13 21:59:28: Abandoned: EBK0OkVMBg_n_KxAU_4DZg, Double Zero, already inserted
2024-02-13 21:59:29: Abandoned: fVbUVAiLiGgLA_nxBFxyww, Thursday Kitchen, already inserted
2024-02-13 21:59:29: Abandoned: ehUuSk5gPTCQmwS_ubgKRA, Upstate Craft Beer & Oyster Bar, already inserted
2024-02-13 21:59:29: Abandoned: -XYp6w50XbZfS90YddS5ew, Soothr, already inserted
2024-02-13 21:59:29: Abandoned: e5wK3I_THzF4Ce_OgoSCQw, Mokyo, already inserted
2024-02-13 21:59:29: Abandoned: jjJc_CrkB2HodEinB6cWww, LoveMama, already inserted
2024-02-13 21:59:29: Abandoned: bZQryeTD6hIsT6lSUxzSSw, Hanoi House, already inserted
2024-02-13 21:59:29: Abandoned: FlZ1zdVEKWv7dwqm8Uw8-w, Raku, already inserted
2024-02-13 21:59:29: Abandoned: LMyvruexOQzzHQrAgbdqiA, Nowon East Village , already inserted
2024-02-13 21:59:29: Abandoned: R7EGjHWw0tNheY6-ahH8fQ, Tuome, already inserted
2024-02-13 21:59:29: Abandoned: 44SY464xDHbvOcjDzRbKkQ, Ippudo NY, already inserted
2024-02-13 21:59:29: Abandoned: iTj5T_jPYvznd1QTgs7NZw, Nai , already inserted
2024-02-13 21:59:29: Abandoned: eQ4QUGvuHGBzsOrphsVc6A, Kimura, already inserted
2024-02-13 21:59:29: Abandoned: 0FaLilJs2VN83hOEBcBnPg, Au Za'atar, already inserted
2024-02-13 21:59:29: Abandoned: 15pcxijuNY8BMNzBhABt7w, Miss Lily's 7A Cafe, already inserted
2024-02-13 21:59:32: Abandoned: AgAkUVLN_axMY-bzbNCfCw, Yuca Bar, already inserted
2024-02-13 21:59:32: Abandoned: W4hobe10Fy54MKqmLaObEg, Cafe Mogador, already inserted
2024-02-13 21:59:32: Abandoned: k5NAz3-goMXKoUqPfOZ1Hw, The Smith, already inserted
2024-02-13 21:59:32: Abandoned: lEH8EUPX3Zn_trHauIycYw, Aoi Kitchen, already inserted
2024-02-13 21:59:32: Abandoned: m2Zsy2UAkcDf0cRzk2Yoqw, Madame Vo, already inserted
2024-02-13 21:59:32: Abandoned: rCpO-kMHljieU0geK0RJQw, Noreetuh, already inserted
2024-02-13 21:59:32: Abandoned: jc7lVTvmYMIK5RNpENtS6w, Szechuan Mountain House, already inserted
2024-02-13 21:59:32: Abandoned: dh5r9-SbN8xJ76XvnayWLQ, Giano Restaurant, already inserted
2024-02-13 21:59:32: Abandoned: nMyot99PkX5iYCdxHoRJqQ, ARIARI, already inserted
2024-02-13 21:59:32: Abandoned: TfJb2hS3Fem2nkIyz13KUA, Ama Raw Bar - East Village, already inserted
2024-02-13 21:59:32: Abandoned: zX8IF7oCbw1HrNaPmOBy-g, FERNS, already inserted
2024-02-13 21:59:32: Abandoned: ynR4-QgEOsE7VhNfIWo73w, Secchu Yokota, already inserted
2024-02-13 21:59:32: Abandoned: TGP5gbAgml0IDRLGCpFnCw, PMF Pardon My French, already inserted
2024-02-13 21:59:32: Abandoned: pNe8ZCkGTe4cXfKdOF7kYQ, Ise Restaurant, already inserted
2024-02-13 21:59:32: Abandoned: PqqnNrUtU7XTKQvUM4cyqQ, Bar Verde, already inserted
2024-02-13 21:59:32: Abandoned: yecdlU3oJb1c7rwbjtxchQ, Marufuku Ramen - New York, already inserted
2024-02-13 21:59:32: Abandoned: c_Kellz-oODKoNpcRbV24w, MONO+MONO, already inserted
2024-02-13 21:59:32: Abandoned: MGRo61aHFUeRlWhSbTv2NA, Sushi By M, already inserted
2024-02-13 21:59:32: Abandoned: ZjU9qd-RR55cEEKufmdN5Q, Cathédrale Restaurant, already inserted
2024-02-13 21:59:32: Abandoned: qpkFmGyvbZv-g2fbwyNQUg, Bowery Meat Company, already inserted
2024-02-13 21:59:33: Abandoned: apykLG7DTZ-7xnOcZGDZZA, Taverna Kyclades - East Village, already inserted
2024-02-13 21:59:33: Abandoned: axqp3pGJXnTLgq2QrPyDyQ, Benemon, already inserted
2024-02-13 21:59:33: Abandoned: 7xV4gzrgaOgQYtPC3FBZig, Pylos, already inserted
2024-02-13 21:59:33: Abandoned: TWH4MjLtN1fKlF-7n6YXHg, Lil Frankie's, already inserted
2024-02-13 21:59:33: Abandoned: Cg5kGSXIelsKX9eqlHr31A, Kyuramen - Union Square, already inserted
2024-02-13 21:59:33: Abandoned: j8cKSxr6aQ8qTx23FLyyiA, The Wayland, already inserted
2024-02-13 21:59:33: Abandoned: FJepPR5CYRggxRwAjlqg6A, Bowery Road, already inserted
2024-02-13 21:59:33: Abandoned: SMrj71bWo1lomSbU8wXgyw, The Dolar Shop, already inserted
2024-02-13 21:59:33: Abandoned: wTQYOTh9_JPI2I8s6Xc-Cw, Pineapple Club, already inserted
2024-02-13 21:59:33: Abandoned: jYhbUh1TV7SCfPxjIhVpcg, Baar Baar, already inserted
2024-02-13 21:59:33: Abandoned: kr5fRwdHtVwPPwSJxm9Fkg, Il Posto Accanto, already inserted
2024-02-13 21:59:33: Abandoned: 4FD0TAxe70nb3ngk3sXF9Q, Uluh, already inserted
2024-02-13 21:59:33: Abandoned: DW6QH9hNP5kgkg-5UDS9wQ, Shinn East, already inserted
2024-02-13 21:59:33: Abandoned: 64olT1goXFQEATQO_oiSLg, The Gray Mare, already inserted
2024-02-13 21:59:34: Abandoned: qrydcGQpeDP_1oFvx3qOeg, Somtum Der, already inserted
2024-02-13 21:59:34: Abandoned: EBK0OkVMBg_n_KxAU_4DZg, Double Zero, already inserted
2024-02-13 21:59:34: Abandoned: fVbUVAiLiGgLA_nxBFxyww, Thursday Kitchen, already inserted
2024-02-13 21:59:34: Abandoned: ehUuSk5gPTCQmwS_ubgKRA, Upstate Craft Beer & Oyster Bar, already inserted
2024-02-13 21:59:34: Abandoned: -XYp6w50XbZfS90YddS5ew, Soothr, already inserted
2024-02-13 21:59:34: Abandoned: e5wK3I_THzF4Ce_OgoSCQw, Mokyo, already inserted
2024-02-13 21:59:34: Abandoned: jjJc_CrkB2HodEinB6cWww, LoveMama, already inserted
2024-02-13 21:59:35: Abandoned: bZQryeTD6hIsT6lSUxzSSw, Hanoi House, already inserted
2024-02-13 21:59:35: Abandoned: FlZ1zdVEKWv7dwqm8Uw8-w, Raku, already inserted
2024-02-13 21:59:35: Abandoned: LMyvruexOQzzHQrAgbdqiA, Nowon East Village , already inserted
2024-02-13 21:59:35: Abandoned: R7EGjHWw0tNheY6-ahH8fQ, Tuome, already inserted
2024-02-13 21:59:35: Abandoned: 44SY464xDHbvOcjDzRbKkQ, Ippudo NY, already inserted
2024-02-13 21:59:35: Abandoned: iTj5T_jPYvznd1QTgs7NZw, Nai , already inserted
2024-02-13 21:59:35: Abandoned: eQ4QUGvuHGBzsOrphsVc6A, Kimura, already inserted
2024-02-13 21:59:35: Abandoned: 0FaLilJs2VN83hOEBcBnPg, Au Za'atar, already inserted
2024-02-13 21:59:35: Abandoned: 15pcxijuNY8BMNzBhABt7w, Miss Lily's 7A Cafe, already inserted
